City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
249,aden,0,YE,1517957659,99,12.79,45.03,75.47,14.58
250,jalu,68,LY,1517957659,35,29.03,21.55,64.49,6.76
251,mar del plata,0,AR,1517957660,36,-46.43,-67.52,73.62,22.75
252,pacifica,1,US,1517956500,45,37.61,-122.49,80.6,11.41
253,flagstaff,1,US,1517956500,14,35.2,-111.65,62.6,20.8
254,coihaique,75,CL,1517954400,51,-45.58,-72.07,62.6,8.05
255,columbus,40,US,1517956500,46,32.46,-84.99,75.2,4.18
256,martapura,90,ID,1517954400,94,-3.41,114.85,77.0,4.7
257,abeche,0,TD,1517957662,28,13.83,20.83,64.17,10.22
258,udachnyy,24,RU,1517957662,61,66.42,112.4,-34.74,2.39
259,aldan,0,RU,1517957662,43,58.61,125.39,-28.58,2.62
260,batagay-alyta,44,RU,1517957663,71,67.8,130.41,-38.12,2.51
261,copiapo,75,CL,1517954400,68,-27.37,-70.33,69.8,14.99
262,kirakira,32,SB,1517957663,100,-10.46,161.92,83.66,14.7
263,lastoursville,48,GA,1517957664,95,-0.81,12.73,74.39,2.06
264,san vicente,0,SV,1517953800,29,13.64,-88.78,89.6,2.24
265,pervomayskiy,88,RU,1517957666,86,53.24,40.29,16.88,5.75
266,hofn,8,IS,1517957666,100,64.25,-15.21,26.24,2.51
267,berlevag,0,NO,1517953800,57,70.86,29.09,19.4,11.41
268,kaka,8,TM,1517957667,90,37.35,59.62,23.04,1.5
269,wilmington,1,US,1517955300,83,39.75,-75.55,37.4,8.05
270,aripuana,88,BR,1517957668,98,-9.17,-60.63,74.12,2.17
271,ciechanow,0,PL,1517957668,80,52.88,20.62,17.01,4.18
272,hualmay,56,PE,1517957668,83,-11.1,-77.61,68.99,4.74
273,angoche,44,MZ,1517957669,100,-16.23,39.91,76.82,6.98
274,camocim,92,BR,1517957669,96,-2.9,-40.84,77.09,4.07
275,montrose,0,AU,1517954400,69,-37.81,145.34,75.2,6.53
276,champerico,20,MX,1517953560,33,16.38,-93.6,91.4,1.16
277,vila velha,40,BR,1517954400,88,-3.71,-38.6,80.6,5.82
278,quibdo,88,CO,1517957670,96,5.69,-76.66,75.06,2.06
279,vestmannaeyjar,92,IS,1517957671,100,63.44,-20.27,35.42,28.12
280,bethel,75,US,1517953980,80,60.79,-161.76,30.2,6.93
281,starychi,5,UA,1517954400,85,49.97,23.55,12.2,6.71
282,niamey,0,NE,1517954400,13,13.52,2.11,80.6,3.36
283,hailar,32,CN,1517957672,54,49.2,119.7,-19.94,5.64
284,virden,32,CA,1517957673,70,49.85,-100.93,0.86,10.56
285,cortez,20,US,1517953980,39,37.35,-108.58,46.4,13.87
286,pacific grove,1,US,1517956500,57,36.62,-121.92,78.8,4.18
287,kayerkan,88,RU,1517957674,93,69.35,87.76,3.02,10.0
288,kachug,0,RU,1517957674,32,53.96,105.89,-23.76,2.62
289,roma,0,IT,1517955600,71,41.89,12.48,51.8,6.93
290,aranos,56,NA,1517957674,90,-24.14,19.11,64.71,7.09
291,severnoye,92,RU,1517957675,92,54.09,52.54,22.32,10.67
292,huarmey,32,PE,1517957675,73,-10.07,-78.15,69.8,3.62
293,kenitra,75,MA,1517956200,93,34.26,-6.57,42.8,3.36
294,motygino,56,RU,1517957675,73,58.18,94.69,0.59,6.64
295,hegang,0,CN,1517957676,62,47.34,130.28,-7.88,5.75
296,mahebourg,75,MU,1517954400,88,-20.41,57.7,75.2,3.4
297,tiksi,56,RU,1517957676,44,71.64,128.87,-28.08,13.8
298,samarai,8,PG,1517957664,99,-10.62,150.67,84.29,9.66
299,saint-philippe,1,CA,1517955300,62,45.36,-73.48,23.0,11.41
300,waipawa,68,NZ,1517957677,64,-39.94,176.59,64.89,7.43
301,isla mujeres,40,MX,1517953380,74,21.23,-86.73,78.8,12.75
302,college,1,US,1517954280,75,64.86,-147.8,-9.41,2.95
303,vila,90,IT,1517955600,93,45.18,8.4,39.2,1.12
304,cairns,75,AU,1517954400,78,-16.92,145.77,78.8,12.75
305,filingue,0,NE,1517957508,51,14.35,3.32,74.12,11.79
306,siocon,80,PH,1517957679,100,11.03,124.04,78.17,15.82
307,ponta delgada,75,PT,1517956200,66,37.73,-25.67,55.4,6.93
308,edson,1,CA,1517954400,72,53.59,-116.44,10.4,2.95
309,karratha,68,AU,1517957680,73,-20.74,116.85,80.15,5.19
310,khatanga,68,RU,1517957680,48,71.98,102.47,-16.34,9.22
311,winnemucca,1,US,1517954160,27,40.97,-117.74,53.6,3.36
312,lorient,0,FR,1517956200,80,47.75,-3.37,35.6,4.7
313,nefteyugansk,0,RU,1517954400,75,61.09,72.61,-13.01,4.47
314,jumla,80,NP,1517957681,79,29.28,82.18,19.26,1.61
315,port elizabeth,20,US,1517954160,64,39.31,-74.98,37.4,5.82
316,monrovia,20,LR,1517956200,94,6.33,-10.8,78.8,7.2
317,andra,0,RU,1517957682,78,62.52,65.89,-11.61,2.51
318,tessalit,92,ML,1517957682,45,20.2,1.01,60.53,5.97
319,fairbanks,1,US,1517954280,75,64.84,-147.72,-9.41,2.95
320,yelizovo,40,RU,1517954400,92,53.19,158.38,24.8,4.47
321,mao,90,DO,1517954400,100,19.55,-71.08,73.4,10.78
322,tazovskiy,92,RU,1517957683,82,67.47,78.7,12.06,24.87
323,tuy hoa,88,VN,1517957683,100,13.08,109.3,64.13,11.56
324,marsh harbour,0,BS,1517957684,100,26.54,-77.06,73.49,18.72
325,tarauaca,76,BR,1517957551,96,-8.16,-70.77,73.71,3.74
326,bako,0,NG,1517957684,38,9.68,6.4,74.61,5.75
327,wollongong,20,AU,1517954400,60,-34.42,150.89,73.4,5.82
328,biak,44,ID,1517957685,100,-0.91,122.88,78.8,1.72
329,lagoa,0,PT,1517956200,48,37.14,-8.45,44.6,6.93
330,eyemouth,0,GB,1517953800,69,55.87,-2.09,33.8,13.87
331,srednekolymsk,48,RU,1517957686,50,67.46,153.71,-17.19,3.74
332,pelym,80,RU,1517957687,75,61.01,62.0,12.56,3.18
333,saint-gaudens,20,FR,1517956200,92,43.11,0.72,26.6,5.82
334,banda aceh,36,ID,1517957645,90,5.56,95.32,75.24,3.74
335,saint george,20,GR,1517953800,76,39.45,22.34,50.0,8.05
336,padang,20,ID,1517957688,100,-0.92,100.36,80.69,3.51
337,emporia,90,US,1517953980,57,38.4,-96.18,23.0,9.17
338,agadir,40,MA,1517956200,66,30.42,-9.58,50.0,9.17
339,naryan-mar,48,RU,1517957688,77,67.67,53.09,0.14,12.8
340,puerto escondido,5,MX,1517953500,70,15.86,-97.07,84.2,9.17
341,phan thiet,0,VN,1517957689,100,10.93,108.1,68.63,10.11
342,mackay,75,CA,1517954400,77,53.65,-115.58,10.4,8.05
343,chumikan,0,RU,1517957690,62,54.72,135.31,-7.52,11.56
344,qaqortoq,88,GL,1517953800,92,60.72,-46.03,23.0,6.93
345,ambikapur,56,IN,1517957690,69,23.12,83.2,58.55,3.06
346,port hardy,90,CA,1517956500,100,50.7,-127.42,42.8,9.17
347,tilichiki,36,RU,1517957691,86,60.47,166.1,6.39,3.51
348,houston,75,US,1517956500,83,29.76,-95.37,75.2,14.99
349,borgarnes,90,IS,1517954400,74,64.54,-21.92,30.2,20.8
350,ayan,88,TR,1517957692,94,40.67,33.6,32.81,1.16
351,vangaindrano,88,MG,1517957692,100,-23.35,47.6,67.55,3.06
352,kieta,8,PG,1517957693,86,-6.22,155.63,86.18,2.95
353,labuhan,92,ID,1517957693,98,-2.54,115.51,71.91,3.18
354,kaduqli,0,SD,1517957693,64,11.01,29.72,64.62,3.18
355,plettenberg bay,44,ZA,1517957694,98,-34.05,23.37,68.54,8.66
356,chapais,75,CA,1517957040,70,49.78,-74.86,-2.21,9.17
357,dourbali,0,TD,1517957694,45,11.81,15.86,66.51,4.52
358,zdvinsk,44,RU,1517957695,84,54.7,78.67,3.51,5.19
359,stepnyak,88,KZ,1517957695,82,52.83,70.79,7.92,8.55
360,nyanguge,40,TZ,1517954400,94,-2.54,33.2,69.8,2.39
361,long,88,CN,1517957696,90,19.18,109.54,46.94,1.61
362,grand gaube,75,MU,1517954400,88,-20.01,57.66,75.2,6.76
363,havre-saint-pierre,75,CA,1517956980,84,50.23,-63.6,-0.41,5.82
364,kyzyl-suu,64,KG,1517957697,100,42.34,78.0,23.31,14.7
365,mbanza-ngungu,8,CD,1517957697,92,-5.25,14.87,73.94,5.41
366,hirtshals,76,DK,1517957698,100,57.59,9.96,25.88,11.45
367,lavrentiya,92,RU,1517957698,100,65.58,-170.99,19.62,17.6
368,nelson bay,40,AU,1517956200,53,-32.72,152.14,77.0,5.82
369,quesnel,90,CA,1517955240,85,52.98,-122.49,17.6,2.73
370,grimshaw,90,CA,1517954400,76,56.19,-117.61,-5.81,2.24
371,nha trang,8,VN,1517957699,100,12.24,109.19,62.19,12.12
372,dubovka,75,RU,1517954400,80,49.06,44.83,30.2,13.42
373,luwuk,44,ID,1517957700,100,-0.95,122.79,78.8,1.72
374,iskateley,48,RU,1517957700,78,67.68,53.15,-0.23,13.58
375,plouzane,8,FR,1517956200,86,48.38,-4.62,37.4,12.75
376,port hedland,0,AU,1517954400,88,-20.31,118.58,77.0,6.93
377,east london,92,ZA,1517957701,99,-33.02,27.91,74.57,20.62
